subject_id,split
01,Test
02,Train
03,Train
04,Test
05,Validation
06,Test
07,Test
08,Train
09,Validation
10,Train
11,Train
12,Train
13,Validation
14,Test
15,Train
16,Train
17,Train
18,Test
19,Train
20,Train
21,Train
22,Train
23,Train
24,Train
25,Train
26,Validation
27,Train
28,Train
29,Train
30,Train
31,Train
32,Test
33,Train
34,Train
35,Validation
36,Train
37,Validation
38,Train
39,Train
40,Train
41,Train
43,Train
44,Train
45,Train
46,Train
47,Validation
48,Train
49,Test
50,Train
51,Validation
52,Train
53,Train
54,Train
55,Test
56,Train
57,Train
58,Train
59,Validation
60,Train
